,title,authors,date,journal,citations,references,paper_link,authors_full,affiliation
16,Light Propagation with Phase Discontinuities: Generalized Laws of Reflection and Refraction,"Yu, NF Genevet, P ... Gaburro, Z",Oct 21 2011,SCIENCE,5573,30,/wos/woscc/full-record/WOS:000296052500041,"Yu, NF; Genevet, P; Kats, MA; Aieta, F; Tetienne, JP; Capasso, F; Gaburro, Z","Harvard Univ, Sch Engn & Appl Sci, Cambridge, MA 02138 USA; Texas A&M Univ, Inst Quantum Studies, College Stn, TX 77843 USA; Texas A&M Univ, Dept Phys, College Stn, TX 77843 USA; Univ Politecn Marche, Dipartimento Fis & Ingn Mat & Terr, I-60131 Ancona, Italy; Ecole Normale Super, Lab Photon Quant & Mol, F-94235 Cachan, France; CNRS, F-94235 Cachan, France; Univ Trent, Dipartimento Fis, I-38100 Trento, Italy"
17,Engineering heterogeneous semiconductors for solar water splitting,"Li, X Yu, JG ... Chen, XB",2015,JOURNAL OF MATERIALS CHEMISTRY A,1321,659,/wos/woscc/full-record/WOS:000348990500003,"Li, X; Yu, JG; Low, JX; Fang, YP; Xiao, J; Chen, XB","South China Agr Univ, Coll Sci, Guangzhou 510642, Guangdong, Peoples R China; Wuhan Univ Technol, State Key Lab Adv Technol Mat Synth & Proc, Wuhan 430070, Peoples R China; S China Univ Technol, Sch Chem & Chem Engn, Guangzhou 510640, Guangdong, Peoples R China; Univ Missouri, Dept Chem, Kansas City, MO 64110 USA; King Abdulaziz Univ, Fac Sci, Dept Phys, Jeddah 21589, Saudi Arabia"
18,Perovskite Materials for Light-Emitting Diodes and Lasers,"Veldhuis, SA Boix, PP ... Mhaisalkar, SG",Aug 24 2016,ADVANCED MATERIALS,981,150,/wos/woscc/full-record/WOS:000382482500002,"Veldhuis, SA; Boix, PP; Yantara, N; Li, MJ; Sum, TC; Mathews, N; Mhaisalkar, SG","Nanyang Technol Univ ERI N, Energy Res Inst, Res Techno Plaza 10 Frontier Block Level 5, Singapore 637553, Singapore; Nanyang Technol Univ, Div Phys & Appl Phys, Sch Phys & Math Sci, 21 Nanyang Link, Singapore 637371, Singapore; Nanyang Technol Univ, Sch Mat Sci & Engn, 50 Nanyang Ave, Singapore 639798, Singapore"
19,"Red, Green, and Blue Luminescence by Carbon Dots: Full-Color Emission Tuning and Multicolor Cellular Imaging","Jiang, K Sun, S ... Lin, HW",Apr 27 2015,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,1283,49,/wos/woscc/full-record/WOS:000354191600014,"Jiang, K; Sun, S; Zhang, L; Lu, Y; Wu, AG; Cai, CZ; Lin, HW","Chongqing Univ, Dept Appl Phys, Chongqing 401331, Peoples R China; Chinese Acad Sci, NIMTE, Div Funct Mat & Nanodevices, Ningbo 315201, Zhejiang, Peoples R China"
20,Bright light-emitting diodes based on organometal halide perovskite,"Tan, ZK Moghaddam, RS ... Friend, RH",Sep 2014,NATURE NANOTECHNOLOGY,3052,29,/wos/woscc/full-record/WOS:000341814400011,"Tan, ZK; Moghaddam, RS; Lai, ML; Docampo, P; Higler, R; Deschler, F; Price, M; Sadhanala, A; Pazos, LM; Credgington, D; Hanusch, F; Bein, T; Snaith, HJ; Friend, RH","Univ Cambridge, Cavendish Lab, Cambridge CB3 0HE, England; Univ Munich, D-81377 Munich, Germany; Univ Oxford, Dept Phys, Clarendon Lab, Oxford OX1 3PU, England"
21,Photonics and optoelectronics of 2D semiconductor transition metal dichalcogenides,"Mak, KF Shan, J",Apr 2016,NATURE PHOTONICS,2125,123,/wos/woscc/full-record/WOS:000372978900009,"Mak, KF; Shan, J","Penn State Univ, Dept Phys, 104 Davey Lab, University Pk, PA 16802 USA; Penn State Univ, Ctr Two Dimens & Layered Mat, University Pk, PA 16802 USA"
22,Spintronics: Fundamentals and applications,"Zutic, I Fabian, J Das Sarma, S",Apr 2004,REVIEWS OF MODERN PHYSICS,8591,912,/wos/woscc/full-record/WOS:000222471500001,"Zutic, I; Fabian, J; Das Sarma, S","Univ Maryland, Dept Phys, Condensed Matter Theory Ctr, College Pk, MD 20742 USA; Karl Franzens Univ Graz, Inst Theoret Phys, A-8010 Graz, Austria"
23,Layer-dependent ferromagnetism in a van der Waals crystal down to the monolayer limit,"Huang, B Clark, G ... Xu, XD",Jun 8 2017,NATURE,2550,37,/wos/woscc/full-record/WOS:000402823400033,"Huang, B; Clark, G; Navarro-Moratalla, E; Klein, DR; Cheng, R; Seyler, KL; Zhong, D; Schmidgall, E; McGuire, MA; Cobden, DH; Yao, W; Xiao, D; Jarillo-Herrero, P; Xu, XD","Univ Washington, Dept Phys, Seattle, WA 98195 USA; Univ Washington, Dept Mat Sci & Engn, Seattle, WA 98195 USA; MIT, Dept Phys, Cambridge, MA 02139 USA; Carnegie Mellon Univ, Dept Phys, Pittsburgh, PA 15213 USA; Oak Ridge Natl Lab, Mat Sci & Technol Div, Oak Ridge, TN 37831 USA; Univ Hong Kong, Dept Phys, Hong Kong, Hong Kong, Peoples R China; Univ Hong Kong, Ctr Theoret & Computat Phys, Hong Kong, Hong Kong, Peoples R China"
24,Perovskite light-emitting diodes with external quantum efficiency exceeding 20 per cent,"Lin, KB Xing, J ... Wei, ZH",Oct 11 2018,NATURE,1902,29,/wos/woscc/full-record/WOS:000446920400048,"Lin, KB; Xing, J; Quan, LN; de Arquer, FPG; Gong, XW; Lu, JX; Xie, LQ; Zhao, WJ; Zhang, D; Yan, CZ; Li, WQ; Liu, XY; Lu, Y; Kirman, J; Sargent, EH; Xiong, QH; Wei, ZH","Huaqiao Univ, Coll Mat Sci & Engn, Minist Educ, Engn Res Ctr Environm Friendly Funct Mat, Xiamen, Peoples R China; Nanyang Technol Univ, Sch Phys & Math Sci, Div Phys & Appl Phys, Singapore, Singapore; Univ Toronto, Dept Elect & Comp Engn, Toronto, ON, Canada"
25,Semiconductor nanocrystals as fluorescent biological labels,"Bruchez, M Moronne, M ... Alivisatos, AP",Sep 25 1998,SCIENCE,7798,25,/wos/woscc/full-record/WOS:000076161800051,"Bruchez, M; Moronne, M; Gin, P; Weiss, S; Alivisatos, AP","Univ Calif Berkeley, Lawrence Berkeley Lab, Div Mat Sci, Berkeley, CA 94720 USA; Univ Calif Berkeley, Lawrence Berkeley Lab, Div Life Sci, Berkeley, CA 94720 USA; Univ Calif Berkeley, Dept Chem, Berkeley, CA 94720 USA; Univ Calif Berkeley, Lawrence Berkeley Lab, Phys Biosci Div, Berkeley, CA 94720 USA"
26,"Noncovalent Functionalization of Graphene and Graphene Oxide for Energy Materials, Biosensing, Catalytic, and Biomedical Applications","Georgakilas, V Tiwari, JN ... Zboril, R",May 11 2016,CHEMICAL REVIEWS,1507,445,/wos/woscc/full-record/WOS:000375888300015,"Georgakilas, V; Tiwari, JN; Kemp, KC; Perman, JA; Bourlinos, AB; Kim, KS; Zboril, R","Univ Patras, Dept Mat Sci, Rion 26504, Greece; Ulsan Natl Inst Sci & Technol, Dept Chem, Ctr Superfunct Mat, Ulsan 689798, South Korea; Palacky Univ, Reg Ctr Adv Technol & Mat, Fac Sci, Dept Phys Chem, 17 Listopadu 1192-12, Olomouc 77146, Czech Republic; Pohang Univ Sci & Technol POSTECH, Dept Environm Engn, Pohang 37673, South Korea"
27,Band parameters for III-V compound semiconductors and their alloys,"Vurgaftman, I Meyer, JR Ram-Mohan, LR",Jun 1 2001,JOURNAL OF APPLIED PHYSICS,5634,996,/wos/woscc/full-record/WOS:000169149900001,"Vurgaftman, I; Meyer, JR; Ram-Mohan, LR","USN, Res Lab, Washington, DC 20375 USA; Worcester Polytech Inst, Worcester, MA 01609 USA"
28,Single-Atom Pt as Co-Catalyst for Enhanced Photocatalytic H-2 Evolution,"Li, XG Bi, WT ... Xie, Y",Mar 23 2016,ADVANCED MATERIALS,881,34,/wos/woscc/full-record/WOS:000372459600018,"Li, XG; Bi, WT; Zhang, L; Tao, S; Chu, WS; Zhang, Q; Luo, Y; Wu, CZ; Xie, Y","Univ Sci & Technol China, CAS Ctr Excellence Nanosci, CAS Key Lab Mech Behav & Design Mat, Hefei Natl Lab Phys Sci Microscale,Collaborat Inn, Hefei 230026, Anhui, Peoples R China; Univ Sci & Technol China, Hefei Natl Lab Phys Sci Microscale, Synerget Innovat Ctr Quantum Informat & Quantum P, Hefei 230026, Anhui, Peoples R China; Univ Sci & Technol China, Natl Synchrotron Radiat Lab, Hefei 230026, Anhui, Peoples R China"
29,"Topological insulators in Bi2Se3, Bi2Te3 and Sb2Te3 with a single Dirac cone on the surface","Zhang, HJ Liu, CX ... Zhang, SC",Jun 2009,NATURE PHYSICS,4564,30,/wos/woscc/full-record/WOS:000266544800024,"Zhang, HJ; Liu, CX; Qi, XL; Dai, X; Fang, Z; Zhang, SC","Stanford Univ, Dept Phys, Stanford, CA 94305 USA; Chinese Acad Sci, Beijing Natl Lab Condensed Matter Phys, Beijing 100190, Peoples R China; Chinese Acad Sci, Inst Phys, Beijing 100190, Peoples R China; Tsinghua Univ, Ctr Adv Study, Beijing 100084, Peoples R China"
30,Metal-insulator transitions,"Imada, M Fujimori, A Tokura, Y",Oct 1998,REVIEWS OF MODERN PHYSICS,5661,1112,/wos/woscc/full-record/WOS:000077004600001,"Imada, M; Fujimori, A; Tokura, Y","Univ Tokyo, Inst Ind Sci, Minato Ku, Tokyo 106, Japan; Univ Tokyo, Dept Phys, Bunkyo Ku, Tokyo 113, Japan; Univ Tokyo, Dept Appl Phys, Bunkyo Ku, Tokyo 113, Japan"
31,Graphene Quantum Dots Derived from Carbon Fibers,"Peng, J Gao, W ... Ajayan, PM",Feb 2012,NANO LETTERS,1787,45,/wos/woscc/full-record/WOS:000299967800053,"Peng, J; Gao, W; Gupta, BK; Liu, Z; Romero-Aburto, R; Ge, LH; Song, L; Alemany, LB; Zhan, XB; Gao, GH; Vithayathil, SA; Kaipparettu, BA; Marti, AA; Hayashi, T; Zhu, JJ; Ajayan, PM","Nanjing Univ, Sch Chem & Chem Engn, State Key Lab Analyt Chem Life Sci, Nanjing 210093, Jiangsu, Peoples R China; Rice Univ, Dept Mech Engn & Mat Sci, Houston, TX 77005 USA; Rice Univ, Dept Chem, Houston, TX 77005 USA; CSIR, Natl Phys Lab, New Delhi 110012, India; Univ Texas MD Anderson Canc Ctr, Dept Mol Pathol, Houston, TX 77054 USA; Shinshu Univ, Res Ctr Exot Nanocarbons, Nagano 3808553, Japan; Ocean Univ China, Inst Mat Sci & Engn, Qingdao 266003, Peoples R China; Baylor Coll Med, Dept Mol & Human Genet, Houston, TX 77030 USA; Rice Univ, Dept Chem & Bioengn, Houston, TX 77005 USA; Shinshu Univ, Fac Engn, Nagano 3808553, Japan"
32,Enhanced Photoresponsive Ultrathin Graphitic-Phase C3N4 Nanosheets for Bioimaging,"Zhang, XD Xie, X ... Xie, Y",Jan 9 2013,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,1633,35,/wos/woscc/full-record/WOS:000313143000005,"Zhang, XD; Xie, X; Wang, H; Zhang, JJ; Pan, BC; Xie, Y","Univ Sci & Technol China, Hefei Natl Lab Phys Sci Microscale, Hefei 230026, Anhui, Peoples R China"
33,Iodide management in formamidinium-lead-halide-based perovskite layers for efficient solar cells,"Yang, WS Park, BW ... Seok, SI",Jun 30 2017,SCIENCE,4175,34,/wos/woscc/full-record/WOS:000404351500035,"Yang, WS; Park, BW; Jung, EH; Jeon, NJ; Kim, YC; Lee, DU; Shin, SS; Seo, J; Kim, EK; Noh, JH; Seok, SI","Ulsan Natl Inst Sci & Technol, Sch Nat Sci, Perovtron Res Ctr, 50 UNIST Gil, Ulsan 44919, South Korea; Ulsan Natl Inst Sci & Technol, Sch Energy & Chem Engn, 50 UNIST Gil, Ulsan 44919, South Korea; Korea Res Inst Chem Technol, Div Adv Mat, 141 Gajeong Ro, Daejeon 34114, South Korea; SK Hynix Inc, NAND Prod Engn Grp, Icheon 17336, South Korea; Hanyang Univ, Dept Phys, Seoul 04763, South Korea; Hanyang Univ, Quantum Funct Res Lab, Seoul 04763, South Korea; Korea Univ, Sch Civil Environm & Architectural Engn, Seoul 136713, South Korea"
34,High-Performance and Ultra-Stable Lithium-Ion Batteries Based on MOF-Derived ZnO@ZnO Quantum Dots/C Core-Shell Nanorod Arrays on a Carbon Cloth Anode,"Zhang, GH Hou, SC ... Duan, HG",Apr 8 2015,ADVANCED MATERIALS,543,46,/wos/woscc/full-record/WOS:000352550300016,"Zhang, GH; Hou, SC; Zhang, H; Zeng, W; Yan, FL; Li, CC; Duan, HG","Hunan Univ, Sch Phys & Elect, State Key Lab Chemo Biosensing & Chemometr, Changsha 410082, Hunan, Peoples R China"
35,"Semiconductor quantum dots and related systems: electronic, optical, luminescence and related properties of low dimensional systems","Yoffe, AD",Jan 2001,ADVANCES IN PHYSICS,1004,732,/wos/woscc/full-record/WOS:000165958700001,"Yoffe, AD","Univ Cambridge, Cavendish Lab, Cambridge CB3 0HE, England"
36,QUANTUM-MECHANICAL COMPUTERS,"FEYNMAN, RP",Jun 1986,FOUNDATIONS OF PHYSICS,683,5,/wos/woscc/full-record/WOS:A1986D857800001,"FEYNMAN, RP","CALTECH,DEPT PHYS,PASADENA,CA 91125, USA"
37,Flat optics with designer metasurfaces,"Yu, NF Capasso, F",Feb 2014,NATURE MATERIALS,3515,108,/wos/woscc/full-record/WOS:000330182700019,"Yu, NF; Capasso, F","Columbia Univ, Dept Appl Phys & Appl Math, New York, NY 10027 USA; Harvard Univ, Sch Engn & Appl Sci, Cambridge, MA 02138 USA"
38,The Fano resonance in plasmonic nanostructures and metamaterials,"Luk'yanchuk, B Zheludev, NI ... Chong, CT",Sep 2010,NATURE MATERIALS,2984,92,/wos/woscc/full-record/WOS:000281178400019,"Luk'yanchuk, B; Zheludev, NI; Maier, SA; Halas, NJ; Nordlander, P; Giessen, H; Chong, CT","Data Storage Inst, Agcy Sci Technol & Res, Singapore 117608, Singapore; Univ Southampton, Optoelect Res Ctr, Southampton SO17 1BJ, Hants, England; Univ London Imperial Coll Sci Technol & Med, Dept Phys, London SW7 2AZ, England; Rice Univ, Dept Elect & Comp Engn, Houston, TX 77005 USA; Rice Univ, Dept Phys & Astron, Houston, TX 77005 USA; Univ Stuttgart, Inst Phys 4, D-70569 Stuttgart, Germany; Natl Univ Singapore, Dept Elect & Comp Engn, Singapore 117576, Singapore"
39,Understanding the High Activity of Fe-N-C Electrocatalysts in Oxygen Reduction: Fe/Fe3C Nanoparticles Boost the Activity of Fe-N-x,"Jiang, WJ Gu, L ... Wan, LJ",Mar 16 2016,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,1264,71,/wos/woscc/full-record/WOS:000372477700044,"Jiang, WJ; Gu, L; Li, L; Zhang, Y; Zhang, X; Zhang, LJ; Wang, JQ; Hu, JS; Wei, ZD; Wan, LJ","Univ Chinese Acad Sci, Beijing Natl Lab Mol Sci, Key Lab Mol Nanostruct & Nanotechnol, Inst Chem, Beijing 100190, Peoples R China; Chongqing Univ, Coll Chem & Chem Engn, State Key Lab Power Transmiss Equipment & Syst Se, Chongqing 400044, Peoples R China; Chinese Acad Sci, Beijing Natl Lab Condensed Matter Phys, Inst Phys, Collaborat Innovat Ctr Quantum Matter, Beijing 100190, Peoples R China; Chinese Acad Sci, Shanghai Inst Appl Phys, Shanghai Synchrotron Radiat Facil, Shanghai 201800, Peoples R China"
40,Promising applications of graphene and graphene-based nanostructures,"Nguyen, BH Nguyen, VH",Jun 2016,ADVANCES IN NATURAL SCIENCES-NANOSCIENCE AND NANOTECHNOLOGY,95,92,/wos/woscc/full-record/WOS:000377264000002,"Nguyen, BH; Nguyen, VH","Vietnam Acad Sci & Technol VAST, Adv Ctr Phys, 18 Hoang Quoc Viet, Hanoi, Vietnam; Vietnam Acad Sci & Technol VAST, Inst Mat Sci, 18 Hoang Quoc Viet, Hanoi, Vietnam; Vietnam Natl Univ Hanoi VNUH, Univ Engn & Technol, 144 Xuan Thuy, Hanoi, Vietnam"
41,Graphene-based materials in electrochemistry,"Chen, D Tang, LH Li, JH",2010,CHEMICAL SOCIETY REVIEWS,1187,224,/wos/woscc/full-record/WOS:000280205200027,"Chen, D; Tang, LH; Li, JH","Tsinghua Univ, Dept Chem, Key Lab Bioorgan Phosphorus Chem & Chem Biol, Beijing 100084, Peoples R China; China Jiliang Univ, Coll Mat Sci & Engn, Hangzhou 310018, Zhejiang, Peoples R China"
42,Strong Light-Matter Interactions in Heterostructures of Atomically Thin Films,"Britnell, L Ribeiro, RM ... Novoselov, KS",Jun 14 2013,SCIENCE,1871,40,/wos/woscc/full-record/WOS:000320320200039,"Britnell, L; Ribeiro, RM; Eckmann, A; Jalil, R; Belle, BD; Mishchenko, A; Kim, YJ; Gorbachev, RV; Georgiou, T; Morozov, SV; Grigorenko, AN; Geim, AK; Casiraghi, C; Castro Neto, AH; Novoselov, KS","Univ Manchester, Sch Phys & Astron, Manchester M13 9PL, Lancs, England; Natl Univ Singapore, Graphene Res Ctr, Singapore 117546, Singapore; Univ Minho, Dept Fis, P-4710057 Braga, Portugal; Univ Minho, Ctr Fis, P-4710057 Braga, Portugal; Univ Manchester, Sch Chem, Manchester M13 9PL, Lancs, England; Univ Manchester, Photon Sci Inst, Manchester M13 9PL, Lancs, England; Univ Manchester, Manchester Ctr Mesosci & Nanotechnol, Manchester M13 9PL, Lancs, England; Seoul Natl Univ, Coll Nat Sci, Dept Chem, Seoul 151747, South Korea; Russian Acad Sci, Inst Microelect Technol, Chernogolovka 142432, Russia; Free Univ Berlin, Dept Phys, D-14195 Berlin, Germany"
