,authors_full,affiliation
10,"Nicolosi, V; Chhowalla, M; Kanatzidis, MG; Strano, MS; Coleman, JN","Trinity Coll Dublin, Sch Phys, D2 Dublin, Dublin, Ireland; Trinity Coll Dublin, Ctr Res Adapt Nanostruct & Nanodevices, D2 Dublin, Dublin, Ireland; Trinity Coll Dublin, Sch Chem, D2 Dublin, Dublin, Ireland; Rutgers State Univ, Piscataway, NJ 08901 USA; Northwestern Univ, Dept Chem, Evanston, IL 60208 USA; MIT, Dept Chem Engn, Cambridge, MA 02139 USA"
11,"Kresse, G; Furthmuller, J","VIENNA TECH UNIV, INST THEORET PHYS, A-1040 VIENNA, AUSTRIA; UNIV JENA, INST FESTKORPERTHEORIE & THEORET OPT, D-07743 JENA, GERMANY"
12,"Yang, JH; Wang, DG; Han, HX; Li, C","Chinese Acad Sci, Dalian Inst Chem Phys, State Key Lab Catalysis, Dalian 116023, Peoples R China; Dalian Natl Lab Clean Energy, Dalian 116023, Peoples R China"
13,"Wolf, SA; Awschalom, DD; Buhrman, RA; Daughton, JM; von Molnar, S; Roukes, ML; Chtchelkanova, AY; Treger, DM","DARPA, Arlington, VA 22203 USA; USN, Res Lab, Washington, DC 20375 USA; Univ Calif Santa Barbara, Dept Phys, Santa Barbara, CA 93106 USA; Cornell Univ, Ithaca, NY 14853 USA; NVE, Eden Prairie, MN 55344 USA; Florida State Univ, MARTECH, Tallahassee, FL 32306 USA; CALTECH, Dept Phys, Pasadena, CA 91125 USA; Strateg Anal, Arlington, VA 22201 USA"
14,"Qi, XL; Zhang, SC","Univ Calif Santa Barbara, Microsoft Res, Stn Q, Santa Barbara, CA 93106 USA; Stanford Univ, Dept Phys, Stanford, CA 94305 USA"
15,"Protesescu, L; Yakunin, S; Bodnarchuk, MI; Krieg, F; Caputo, R; Hendon, CH; Yang, RX; Walsh, A; Kovalenko, MV","ETH, Inst Inorgan Chem, Dept Chem & Appl Biosci, CH-8093 Zurich, Switzerland; Empa Swiss Fed Labs Mat Sci & Technol, Lab Thin Films & Photovolta, CH-8600 Dubendorf, Switzerland; Univ Bath, Ctr Sustainable Chem Technol, Bath BA2 7AY, Avon, England; Univ Bath, Dept Chem, Bath BA2 7AY, Avon, England"
16,"Yu, NF; Genevet, P; Kats, MA; Aieta, F; Tetienne, JP; Capasso, F; Gaburro, Z","Harvard Univ, Sch Engn & Appl Sci, Cambridge, MA 02138 USA; Texas A&M Univ, Inst Quantum Studies, College Stn, TX 77843 USA; Texas A&M Univ, Dept Phys, College Stn, TX 77843 USA; Univ Politecn Marche, Dipartimento Fis & Ingn Mat & Terr, I-60131 Ancona, Italy; Ecole Normale Super, Lab Photon Quant & Mol, F-94235 Cachan, France; CNRS, F-94235 Cachan, France; Univ Trent, Dipartimento Fis, I-38100 Trento, Italy"
17,"Li, X; Yu, JG; Low, JX; Fang, YP; Xiao, J; Chen, XB","South China Agr Univ, Coll Sci, Guangzhou 510642, Guangdong, Peoples R China; Wuhan Univ Technol, State Key Lab Adv Technol Mat Synth & Proc, Wuhan 430070, Peoples R China; S China Univ Technol, Sch Chem & Chem Engn, Guangzhou 510640, Guangdong, Peoples R China; Univ Missouri, Dept Chem, Kansas City, MO 64110 USA; King Abdulaziz Univ, Fac Sci, Dept Phys, Jeddah 21589, Saudi Arabia"
18,"Veldhuis, SA; Boix, PP; Yantara, N; Li, MJ; Sum, TC; Mathews, N; Mhaisalkar, SG","Nanyang Technol Univ ERI N, Energy Res Inst, Res Techno Plaza 10 Frontier Block Level 5, Singapore 637553, Singapore; Nanyang Technol Univ, Div Phys & Appl Phys, Sch Phys & Math Sci, 21 Nanyang Link, Singapore 637371, Singapore; Nanyang Technol Univ, Sch Mat Sci & Engn, 50 Nanyang Ave, Singapore 639798, Singapore"
19,"Jiang, K; Sun, S; Zhang, L; Lu, Y; Wu, AG; Cai, CZ; Lin, HW","Chongqing Univ, Dept Appl Phys, Chongqing 401331, Peoples R China; Chinese Acad Sci, NIMTE, Div Funct Mat & Nanodevices, Ningbo 315201, Zhejiang, Peoples R China"
20,"Tan, ZK; Moghaddam, RS; Lai, ML; Docampo, P; Higler, R; Deschler, F; Price, M; Sadhanala, A; Pazos, LM; Credgington, D; Hanusch, F; Bein, T; Snaith, HJ; Friend, RH","Univ Cambridge, Cavendish Lab, Cambridge CB3 0HE, England; Univ Munich, D-81377 Munich, Germany; Univ Oxford, Dept Phys, Clarendon Lab, Oxford OX1 3PU, England"
21,"Mak, KF; Shan, J","Penn State Univ, Dept Phys, 104 Davey Lab, University Pk, PA 16802 USA; Penn State Univ, Ctr Two Dimens & Layered Mat, University Pk, PA 16802 USA"
22,"Zutic, I; Fabian, J; Das Sarma, S","Univ Maryland, Dept Phys, Condensed Matter Theory Ctr, College Pk, MD 20742 USA; Karl Franzens Univ Graz, Inst Theoret Phys, A-8010 Graz, Austria"
23,"Huang, B; Clark, G; Navarro-Moratalla, E; Klein, DR; Cheng, R; Seyler, KL; Zhong, D; Schmidgall, E; McGuire, MA; Cobden, DH; Yao, W; Xiao, D; Jarillo-Herrero, P; Xu, XD","Univ Washington, Dept Phys, Seattle, WA 98195 USA; Univ Washington, Dept Mat Sci & Engn, Seattle, WA 98195 USA; MIT, Dept Phys, Cambridge, MA 02139 USA; Carnegie Mellon Univ, Dept Phys, Pittsburgh, PA 15213 USA; Oak Ridge Natl Lab, Mat Sci & Technol Div, Oak Ridge, TN 37831 USA; Univ Hong Kong, Dept Phys, Hong Kong, Hong Kong, Peoples R China; Univ Hong Kong, Ctr Theoret & Computat Phys, Hong Kong, Hong Kong, Peoples R China"
24,"Lin, KB; Xing, J; Quan, LN; de Arquer, FPG; Gong, XW; Lu, JX; Xie, LQ; Zhao, WJ; Zhang, D; Yan, CZ; Li, WQ; Liu, XY; Lu, Y; Kirman, J; Sargent, EH; Xiong, QH; Wei, ZH","Huaqiao Univ, Coll Mat Sci & Engn, Minist Educ, Engn Res Ctr Environm Friendly Funct Mat, Xiamen, Peoples R China; Nanyang Technol Univ, Sch Phys & Math Sci, Div Phys & Appl Phys, Singapore, Singapore; Univ Toronto, Dept Elect & Comp Engn, Toronto, ON, Canada"
25,"Bruchez, M; Moronne, M; Gin, P; Weiss, S; Alivisatos, AP","Univ Calif Berkeley, Lawrence Berkeley Lab, Div Mat Sci, Berkeley, CA 94720 USA; Univ Calif Berkeley, Lawrence Berkeley Lab, Div Life Sci, Berkeley, CA 94720 USA; Univ Calif Berkeley, Dept Chem, Berkeley, CA 94720 USA; Univ Calif Berkeley, Lawrence Berkeley Lab, Phys Biosci Div, Berkeley, CA 94720 USA"
26,"Georgakilas, V; Tiwari, JN; Kemp, KC; Perman, JA; Bourlinos, AB; Kim, KS; Zboril, R","Univ Patras, Dept Mat Sci, Rion 26504, Greece; Ulsan Natl Inst Sci & Technol, Dept Chem, Ctr Superfunct Mat, Ulsan 689798, South Korea; Palacky Univ, Reg Ctr Adv Technol & Mat, Fac Sci, Dept Phys Chem, 17 Listopadu 1192-12, Olomouc 77146, Czech Republic; Pohang Univ Sci & Technol POSTECH, Dept Environm Engn, Pohang 37673, South Korea"
27,"Vurgaftman, I; Meyer, JR; Ram-Mohan, LR","USN, Res Lab, Washington, DC 20375 USA; Worcester Polytech Inst, Worcester, MA 01609 USA"
28,"Li, XG; Bi, WT; Zhang, L; Tao, S; Chu, WS; Zhang, Q; Luo, Y; Wu, CZ; Xie, Y","Univ Sci & Technol China, CAS Ctr Excellence Nanosci, CAS Key Lab Mech Behav & Design Mat, Hefei Natl Lab Phys Sci Microscale,Collaborat Inn, Hefei 230026, Anhui, Peoples R China; Univ Sci & Technol China, Hefei Natl Lab Phys Sci Microscale, Synerget Innovat Ctr Quantum Informat & Quantum P, Hefei 230026, Anhui, Peoples R China; Univ Sci & Technol China, Natl Synchrotron Radiat Lab, Hefei 230026, Anhui, Peoples R China"
29,"Zhang, HJ; Liu, CX; Qi, XL; Dai, X; Fang, Z; Zhang, SC","Stanford Univ, Dept Phys, Stanford, CA 94305 USA; Chinese Acad Sci, Beijing Natl Lab Condensed Matter Phys, Beijing 100190, Peoples R China; Chinese Acad Sci, Inst Phys, Beijing 100190, Peoples R China; Tsinghua Univ, Ctr Adv Study, Beijing 100084, Peoples R China"
30,"Imada, M; Fujimori, A; Tokura, Y","Univ Tokyo, Inst Ind Sci, Minato Ku, Tokyo 106, Japan; Univ Tokyo, Dept Phys, Bunkyo Ku, Tokyo 113, Japan; Univ Tokyo, Dept Appl Phys, Bunkyo Ku, Tokyo 113, Japan"
31,"Peng, J; Gao, W; Gupta, BK; Liu, Z; Romero-Aburto, R; Ge, LH; Song, L; Alemany, LB; Zhan, XB; Gao, GH; Vithayathil, SA; Kaipparettu, BA; Marti, AA; Hayashi, T; Zhu, JJ; Ajayan, PM","Nanjing Univ, Sch Chem & Chem Engn, State Key Lab Analyt Chem Life Sci, Nanjing 210093, Jiangsu, Peoples R China; Rice Univ, Dept Mech Engn & Mat Sci, Houston, TX 77005 USA; Rice Univ, Dept Chem, Houston, TX 77005 USA; CSIR, Natl Phys Lab, New Delhi 110012, India; Univ Texas MD Anderson Canc Ctr, Dept Mol Pathol, Houston, TX 77054 USA; Shinshu Univ, Res Ctr Exot Nanocarbons, Nagano 3808553, Japan; Ocean Univ China, Inst Mat Sci & Engn, Qingdao 266003, Peoples R China; Baylor Coll Med, Dept Mol & Human Genet, Houston, TX 77030 USA; Rice Univ, Dept Chem & Bioengn, Houston, TX 77005 USA; Shinshu Univ, Fac Engn, Nagano 3808553, Japan"
32,"Zhang, XD; Xie, X; Wang, H; Zhang, JJ; Pan, BC; Xie, Y","Univ Sci & Technol China, Hefei Natl Lab Phys Sci Microscale, Hefei 230026, Anhui, Peoples R China"
33,"Yang, WS; Park, BW; Jung, EH; Jeon, NJ; Kim, YC; Lee, DU; Shin, SS; Seo, J; Kim, EK; Noh, JH; Seok, SI","Ulsan Natl Inst Sci & Technol, Sch Nat Sci, Perovtron Res Ctr, 50 UNIST Gil, Ulsan 44919, South Korea; Ulsan Natl Inst Sci & Technol, Sch Energy & Chem Engn, 50 UNIST Gil, Ulsan 44919, South Korea; Korea Res Inst Chem Technol, Div Adv Mat, 141 Gajeong Ro, Daejeon 34114, South Korea; SK Hynix Inc, NAND Prod Engn Grp, Icheon 17336, South Korea; Hanyang Univ, Dept Phys, Seoul 04763, South Korea; Hanyang Univ, Quantum Funct Res Lab, Seoul 04763, South Korea; Korea Univ, Sch Civil Environm & Architectural Engn, Seoul 136713, South Korea"
34,"Zhang, GH; Hou, SC; Zhang, H; Zeng, W; Yan, FL; Li, CC; Duan, HG","Hunan Univ, Sch Phys & Elect, State Key Lab Chemo Biosensing & Chemometr, Changsha 410082, Hunan, Peoples R China"
35,"Yoffe, AD","Univ Cambridge, Cavendish Lab, Cambridge CB3 0HE, England"
36,"FEYNMAN, RP","CALTECH,DEPT PHYS,PASADENA,CA 91125, USA"
37,"Yu, NF; Capasso, F","Columbia Univ, Dept Appl Phys & Appl Math, New York, NY 10027 USA; Harvard Univ, Sch Engn & Appl Sci, Cambridge, MA 02138 USA"
38,"Luk'yanchuk, B; Zheludev, NI; Maier, SA; Halas, NJ; Nordlander, P; Giessen, H; Chong, CT","Data Storage Inst, Agcy Sci Technol & Res, Singapore 117608, Singapore; Univ Southampton, Optoelect Res Ctr, Southampton SO17 1BJ, Hants, England; Univ London Imperial Coll Sci Technol & Med, Dept Phys, London SW7 2AZ, England; Rice Univ, Dept Elect & Comp Engn, Houston, TX 77005 USA; Rice Univ, Dept Phys & Astron, Houston, TX 77005 USA; Univ Stuttgart, Inst Phys 4, D-70569 Stuttgart, Germany; Natl Univ Singapore, Dept Elect & Comp Engn, Singapore 117576, Singapore"
39,"Jiang, WJ; Gu, L; Li, L; Zhang, Y; Zhang, X; Zhang, LJ; Wang, JQ; Hu, JS; Wei, ZD; Wan, LJ","Univ Chinese Acad Sci, Beijing Natl Lab Mol Sci, Key Lab Mol Nanostruct & Nanotechnol, Inst Chem, Beijing 100190, Peoples R China; Chongqing Univ, Coll Chem & Chem Engn, State Key Lab Power Transmiss Equipment & Syst Se, Chongqing 400044, Peoples R China; Chinese Acad Sci, Beijing Natl Lab Condensed Matter Phys, Inst Phys, Collaborat Innovat Ctr Quantum Matter, Beijing 100190, Peoples R China; Chinese Acad Sci, Shanghai Inst Appl Phys, Shanghai Synchrotron Radiat Facil, Shanghai 201800, Peoples R China"
40,"Nguyen, BH; Nguyen, VH","Vietnam Acad Sci & Technol VAST, Adv Ctr Phys, 18 Hoang Quoc Viet, Hanoi, Vietnam; Vietnam Acad Sci & Technol VAST, Inst Mat Sci, 18 Hoang Quoc Viet, Hanoi, Vietnam; Vietnam Natl Univ Hanoi VNUH, Univ Engn & Technol, 144 Xuan Thuy, Hanoi, Vietnam"
41,"Chen, D; Tang, LH; Li, JH","Tsinghua Univ, Dept Chem, Key Lab Bioorgan Phosphorus Chem & Chem Biol, Beijing 100084, Peoples R China; China Jiliang Univ, Coll Mat Sci & Engn, Hangzhou 310018, Zhejiang, Peoples R China"
42,"Britnell, L; Ribeiro, RM; Eckmann, A; Jalil, R; Belle, BD; Mishchenko, A; Kim, YJ; Gorbachev, RV; Georgiou, T; Morozov, SV; Grigorenko, AN; Geim, AK; Casiraghi, C; Castro Neto, AH; Novoselov, KS","Univ Manchester, Sch Phys & Astron, Manchester M13 9PL, Lancs, England; Natl Univ Singapore, Graphene Res Ctr, Singapore 117546, Singapore; Univ Minho, Dept Fis, P-4710057 Braga, Portugal; Univ Minho, Ctr Fis, P-4710057 Braga, Portugal; Univ Manchester, Sch Chem, Manchester M13 9PL, Lancs, England; Univ Manchester, Photon Sci Inst, Manchester M13 9PL, Lancs, England; Univ Manchester, Manchester Ctr Mesosci & Nanotechnol, Manchester M13 9PL, Lancs, England; Seoul Natl Univ, Coll Nat Sci, Dept Chem, Seoul 151747, South Korea; Russian Acad Sci, Inst Microelect Technol, Chernogolovka 142432, Russia; Free Univ Berlin, Dept Phys, D-14195 Berlin, Germany"
43,"Zhou, JD; Lin, JH; Huang, XW; Zhou, Y; Chen, Y; Xia, J; Wang, H; Xie, Y; Yu, HM; Lei, JC; Wu, D; Liu, FC; Fu, QD; Zeng, QS; Hsu, CH; Yang, CL; Lu, L; Yu, T; Shen, ZX; Lin, H; Yakobson, BI; Liu, Q; Suenaga, K; Liu, GT; Liu, Z","Nanyang Technol Univ, Sch Mat Sci & Engn, Ctr Programmable Mat, Singapore, Singapore; Natl Inst Adv Ind Sci & Technol, Tsukuba, Ibaraki, Japan; Chinese Acad Sci, Beijing Natl Lab Condensed Matter Phys, Inst Phys, Beijing, Peoples R China; Chinese Acad Sci, Shanghai Inst Ceram, State Key Lab High Performance Ceram & Superfine, Shanghai, Peoples R China; Nanyang Technol Univ, Sch Phys & Math Sci, Div Phys & Appl Phys, Singapore, Singapore; Rice Univ, Dept Mat Sci & NanoEngn, Houston, TX USA; Rice Univ, Dept Chem, Houston, TX USA; East China Univ Sci & Technol, Sch Mat Sci & Engn, Shanghai, Peoples R China; Natl Univ Singapore, Ctr Adv Mat 2D, Singapore, Singapore; Natl Univ Singapore, Graphene Res Ctr, Singapore, Singapore; Natl Univ Singapore, Dept Phys, Singapore, Singapore; Collaborat Innovat Ctr Quantum Matter, Beijing, Peoples R China; Acad Sinica, Inst Phys, Taipei, Taiwan; Nanyang Technol Univ, Sch Elect & Elect Engn, Ctr Micro Nanoelect NOVITAS, Singapore, Singapore; CINTRA CNRS NTU THALES, UMI 3288, Res Techno Plaza, Singapore, Singapore; Nanyang Environm & Water Res Inst, Environm Chem & Mat Ctr, Singapore, Singapore"
44,"Cao, Y; Fatemi, V; Demir, A; Fang, S; Tomarken, SL; Luo, JY; Sanchez-Yamagishi, JD; Watanabe, K; Taniguchi, T; Kaxiras, E; Ashoori, RC; Jarillo-Herrero, P","MIT, Dept Phys, Cambridge, MA 02139 USA; Harvard Univ, Dept Phys, Cambridge, MA 02138 USA; Natl Inst Mat Sci, Namiki 1-1, Tsukuba, Ibaraki 3050044, Japan; Harvard Univ, John A Paulson Sch Engn & Appl Sci, Cambridge, MA 02138 USA"
45,"Berger, C; Song, ZM; Li, XB; Wu, XS; Brown, N; Naud, C; Mayou, D; Li, TB; Hass, J; Marchenkov, AN; Conrad, EH; First, PN; de Heer, WA","Georgia Inst Technol, Sch Phys, Atlanta, GA 30332 USA; CNRS, Etud Proprietes Elect Solides Lab, F-38042 Grenoble 9, France"
46,"Abergel, DSL; Apalkov, V; Berashevich, J; Ziegler, K; Chakraborty, T","Univ Manitoba, Dept Phys & Astron, Winnipeg, MB R3T 2N2, Canada; Georgia State Univ, Dept Phys & Astron, Atlanta, GA 30303 USA; Univ Augsburg, Inst Phys, D-86135 Augsburg, Germany"
47,"Langer, J; de Aberasturi, DJ; Aizpurua, J; Alvarez-Puebla, RA; Auguie, B; Baumberg, JJ; Bazan, GC; Bell, SEJ; Boisen, A; Brolo, AG; Choo, J; Cialla-May, D; Deckert, V; Fabris, L; Faulds, K; de Abajo, FJG; Goodacre, R; Graham, D; Haes, AJ; Haynes, CL; Huck, C; Itoh, T; Ka, M; Kneipp, J; Kotov, NA; Kuang, H; Le Ru, EC; Lee, HK; Li, JF; Ling, XY; Maier, SA; Mayerhofer, T; Moskovits, M; Murakoshi, K; Nam, JM; Nie, S; Ozaki, Y; Pastoriza-Santos, I; Perez-Juste, J; Popp, J; Pucci, A; Reich, S; Ren, B; Schatz, GC; Shegai, T; Schlucker, S; Tay, LL; Thomas, KG; Tian, ZQ; Van Duyne, RP; Vo-Dinh, T; Wang, Y; Willets, KA; Xu, C; Xu, H; Xu, Y; Yamamoto, YS; Zhao, B; Liz-Marzan, LM","CIC BiomaGUNE, Paseo Miramon 182, Donostia San Sebastian 20014, Spain; CIBER BBN, Paseo Miramon 182, Donostia San Sebastian 20014, Spain; Univ Basque Country, CSIC, Ctr Phys Mat, Paseo Manuel Lardizabal 5, Donostia San Sebastian 20018, Spain; Donostia Int Phys Ctr, Paseo Manuel Lardizabal 5, Donostia San Sebastian 20018, Spain; Univ Rovira & Virgili, Dept Quim Fis & Inorgan, E-43007 Tarragona, Spain; Univ Rovira & Virgili, EMaS, E-43007 Tarragona, Spain; ICREA Inst Catalana Recerca & Estudis Avancats, Passeig Lluis Co 23, Barcelona 08010, Spain; Victoria Univ Wellington, Sch Chem & Phys Sci, POB 600, Wellington 6140, New Zealand; MacDiarmid Inst Adv Mat & Nanotechnol, POB 600, Wellington 6140, New Zealand; Dodd Walls Ctr Quantum & Photon Technol, POB 56, Dunedin 9054, New Zealand; Univ Cambridge, Cavendish Lab, NanoPhoton Ctr, Cambridge CB3 OHE, England; Univ Calif Santa Barbara, Dept Mat & Chem & Biochem, Santa Barbara, CA 93106 USA; Queens Univ Belfast, Sch Chem & Chem Engn, Belfast BT9 5AG, Antrim, North Ireland; Tech Univ Denmark, Dept Micro & Nanotechnol, Danish Natl Res Fdn, DK-2800 Lyngby, Denmark; Tech Univ Denmark, Villum Fdn, Ctr Intelligent Drug Delivery & Sensing Using Mic, DK-2800 Lyngby, Denmark; Univ Victoria, Dept Chem, POB 3065, Victoria, BC V8W 3V6, Canada; Univ Victoria, Ctr Adv Mat & Related Technol, Victoria, BC V8W 2Y2, Canada; Chung Ang Univ, Dept Chem, Seoul 06974, South Korea; Res Alliance Leibniz Hlth Technol, Leibniz Inst Photon Technol Jena, Albert Einstein Str 9, D-07745 Jena, Germany; Friedrich Schiller Univ Jena, Inst Phys Chem, Helmholtzweg 4, D-07745 Jena, Germany; Friedrich Schiller Univ Jena, Abbe Ctr Photon, Helmholtzweg 4, D-07745 Jena, Germany; Rutgers State Univ, Dept Mat Sci & Engn, 607 Taylor Rd, Piscataway, NJ 08854 USA; Univ Strathclyde, Technol & Innovat Ctr, Dept Pure & Appl Chem, 99 George St, Glasgow G1 1RD, Lanark, Scotland; Barcelona Inst Sci & Technol, Inst Ciencies Foton, Castelldefels 08860, Barcelona, Spain; Univ Liverpool, Inst Integrat Biol, Dept Biochem, Biosci Bldg,Crown St, Liverpool L69 7ZB, Merseyside, England; Univ Iowa, Dept Chem, Iowa City, IA 52242 USA; Univ Minnesota, Dept Chem, 207 Pleasant St SE, Minneapolis, MN 55455 USA; Heidelberg Univ, Kirchhoff Inst Phys, Neuenheimer Feld 227, D-69120 Heidelberg, Germany; Natl Inst Adv Ind Sci & Technol, Hlth Res Inst, NanoBioanal Res Grp, Takamatsu, Kagawa 7610395, Japan; Chalmers Univ Technol, Dept Phys, S-41296 Gothenburg, Sweden; Humboldt Univ, Dept Chem, Brook Taylor Str 2, D-12489 Berlin, Germany; Univ Michigan, Dept Chem Engn, Ann Arbor, MI 48109 USA; Jiangnan Univ, Int Joint Res Lab Biointerface & Biodetect, Minist Educ, Key Lab Synthet & Biol Colloids, Wuxi 214122, Jiangsu, Peoples R China; Jiangnan Univ, State Key Lab Food Sci & Technol, Wuxi 214122, Jiangsu, Peoples R China; Nanyang Technol Univ, Sch Phys & Math Sci, Div Chem & Biol Chem, 21 Nanyang Link, Singapore 637371, Singapore; Stanford Univ, Dept Mat Sci & Engn, Stanford, CA 94305 USA; Xiamen Univ, MOE Key Lab Spectrochem Anal & Instrumentat, Collaborat Innovat Ctr Chem Energy Mat,Coll Chem, State Key Lab Phys Chem Solid Surfaces,Dept Chem, Xiamen 361005, Peoples R China; Ludwig Maximilians Univ Munchen, Fac Phys, Chair Hybrid Nanosyst, Nanoinst Munich, D-80539 Munich, Germany; Univ Calif Santa Barbara, Dept Chem & Biochem, Santa Barbara, CA 93106 USA; Hokkaido Univ, Fac Sci, Dept Chem, Kita Ku, North 10 West 8, Sapporo, Hokkaido 0600810, Japan; Seoul Natl Univ, Dept Chem, Seoul 08826, South Korea; Univ Illinois, Dept Bioengn, 1406 W Green St, Urbana, IL 61801 USA; Kwansei Gakuin Univ, Sch Sci & Technol, Dept Chem, Sanda, Hyogo 6691337, Japan; Univ Vigo, Dept Quim Fis, Vigo 36310, Spain; Univ Vigo, CINBIO, Vigo 36310, Spain; Free Univ Berlin, Dept Phys, D-14195 Berlin, Germany; Northwestern Univ, Dept Chem, 2145 Sheridan Rd, Evanston, IL 60208 USA; Univ Duisburg Essen, Dept Chem, Phys Chem 1, D-45141 Essen, Germany; Univ Duisburg Essen, Ctr Nanointegrat Duisburg Essen, D-45141 Essen, Germany; Natl Res Council Canada, Metrol Res Ctr, Ottawa, ON K1A 0R6, Canada; Indian Inst Sci Educ & Res Thiruvananthapuram, Sch Chem, Vithura Thiruvananthapur 695551, India; Duke Univ, Dept Biomed Engn, Fitzpatrick Inst Photon, 101 Sci Dr,Box 90281, Durham, NC 27708 USA; Duke Univ, Dept Chem, 101 Sci Dr,Box 90281, Durham, NC 27708 USA; Northwestern Univ, Coll Sci, Dept Chem, Shenyang 110819, Peoples R China; Temple Univ, Dept Chem, Philadelphia, PA 19122 USA; Wuhan Univ, Sch Phys & Technol, Wuhan 430072, Peoples R China; Wuhan Univ, Inst Adv Studies, Wuhan 430072, Peoples R China; Japan Adv Inst Sci & Technol, Sch Mat Sci, Nomi, Ishikawa 9231292, Japan; Jilin Univ, State Key Lab Supramol Struct & Mat, Changchun 130012, Peoples R China; Ikerbasque, Basque Fdn Sci, Bilbao 48013, Spain"
